task,cost
0,59.0
1,21.77
2,40.53
3,35.47
4,48.9
5,15.23
6,48.67
7,11.39
8,49.58
9,10.45
10,56.76
11,37.9
12,8.66
13,23.78
14,21.28
15,33.66
16,48.59
17,13.88
18,15.38
19,30.81
20,18.09
21,13.01
22,11.35
23,30.04
24,9.83
25,16.55
26,42.46
27,25.8
28,34.76
29,51.75
30,41.21
31,39.26
32,21.86
33,29.3
34,18.49
35,39.9
36,26.44
37,37.13
38,50.9
39,9.81
40,18.89
41,12.61
42,46.52
43,38.98
44,24.23
45,30.0
46,25.4
47,17.36
48,35.15
49,19.26
50,39.78
51,18.1
52,14.32
53,25.12
54,19.75
55,42.69
56,17.42
57,22.78
58,29.25
59,27.51
