task,cost
0,14.68
1,44.2
2,14.32
3,40.27
4,50.9
5,44.26
6,18.43
7,42.24
8,18.93
9,10.26
10,15.9
11,34.96
12,37.76
13,14.76
14,26.56
15,17.02
16,14.38
17,24.18
18,34.29
19,36.34
20,41.08
21,33.47
22,29.74
23,11.71
24,34.7
25,32.48
26,25.43
27,19.05
28,17.0
29,44.38
30,40.04
31,40.65
32,13.16
33,44.03
34,21.02
35,12.33
36,17.51
37,47.8
38,24.52
39,38.48
40,59.03
41,13.59
42,16.68
43,61.58
44,26.57
45,50.91
46,9.95
47,19.56
48,29.16
49,37.46
50,9.35
51,18.37
52,14.88
53,42.57
54,24.36
55,9.88
56,35.74
57,26.19
58,28.52
59,24.19
60,30.82
61,60.53
62,35.88
63,34.61
64,10.8
65,29.39
66,41.32
67,26.55
68,25.8
69,25.05
