src,dst,comm
0,42,2
0,36,1
1,38,2
1,29,6
1,73,10
2,13,4
3,15,9
3,57,2
3,48,7
4,77,4
4,37,3
5,29,3
5,42,2
5,6,4
6,30,5
6,31,7
7,30,9
7,66,10
7,70,2
8,19,8
8,62,4
9,20,10
10,14,3
10,74,5
10,23,8
11,44,9
12,35,1
12,51,3
13,73,9
13,29,5
13,60,6
14,47,10
15,75,9
15,76,6
15,45,2
15,60,6
16,35,10
16,36,6
17,70,2
17,46,2
18,47,2
19,62,5
19,50,4
20,55,1
20,23,8
20,60,8
20,26,9
21,43,10
21,48,3
21,65,2
21,37,1
22,46,5
22,74,10
22,38,3
22,52,6
23,46,7
23,56,2
23,71,4
23,66,10
24,48,6
24,72,2
25,72,7
26,69,5
27,69,2
27,70,5
27,34,10
28,58,3
28,56,10
28,39,8
29,58,3
29,72,8
29,63,8
29,59,4
30,42,9
31,71,3
31,57,5
31,63,2
31,77,7
32,48,2
32,37,7
32,63,6
33,78,2
33,43,5
33,40,3
34,78,8
34,44,7
34,59,3
34,48,6
35,57,7
35,77,9
36,46,10
36,50,2
36,38,8
36,44,7
37,39,2
38,54,9
38,60,10
38,43,7
39,45,4
39,74,8
40,61,2
41,44,6
41,54,3
41,64,10
41,73,4
42,51,6
43,69,7
44,57,1
44,76,4
44,68,9
44,58,4
45,62,4
45,78,6
45,50,1
46,68,8
46,75,8
47,79,7
47,52,7
47,66,2
48,66,7
48,71,4
48,69,3
49,57,2
49,66,7
49,70,10
49,68,9
50,64,10
50,59,8
51,77,7
52,59,3
52,62,7
52,57,7
53,72,7
53,56,4
53,57,9
53,64,4
54,57,10
54,61,4
55,58,7
55,67,2
55,75,7
55,65,9
56,67,8
56,63,9
56,70,7
57,66,1
57,63,1
57,61,8
58,65,1
59,63,3
59,77,2
59,79,1
60,67,6
61,78,4
62,70,7
63,68,2
63,72,6
63,76,2
64,76,10
65,70,2
65,67,7
65,79,9
66,69,3
66,75,1
67,78,9
67,75,7
67,74,5
68,70,6
69,72,8
69,73,2
70,71,5
71,75,2
71,79,7
72,74,5
73,78,6
73,79,1
73,77,8
73,75,4
74,78,3
74,79,6
74,75,8
75,78,4
76,77,8
76,78,4
77,79,5
77,78,3
78,79,7
