task,cost
0,34.14
1,18.41
2,17.81
3,14.14
4,58.62
5,33.23
6,20.27
7,19.28
8,43.79
9,26.98
10,46.86
11,24.58
12,24.45
13,48.46
14,36.73
15,30.12
16,14.59
17,15.62
18,16.59
19,36.27
20,17.5
21,14.73
22,37.02
23,15.2
24,43.13
25,20.38
26,13.66
27,18.36
28,8.11
29,24.66
30,25.67
31,51.3
32,23.26
33,48.42
34,11.45
35,13.57
36,31.16
37,38.02
38,23.81
39,16.53
40,18.45
41,13.93
42,33.92
43,35.9
44,34.5
45,51.74
46,17.52
47,30.81
48,34.12
49,40.03
50,37.71
51,38.0
52,12.48
53,30.95
54,35.67
55,54.19
56,34.3
57,45.05
58,31.87
59,34.69
60,27.29
61,28.29
62,49.42
63,33.35
64,13.96
65,48.78
66,35.95
67,39.84
68,33.79
69,49.67
70,12.19
71,48.69
72,51.23
73,41.25
74,26.63
75,46.11
76,32.03
77,32.0
78,17.66
79,36.23
80,45.14
81,35.28
82,21.0
83,24.87
84,30.68
85,29.18
86,40.63
87,11.43
88,42.25
89,43.71
90,31.12
91,20.05
92,39.09
93,28.75
94,33.87
95,19.63
96,29.03
97,28.94
98,13.7
99,21.42
