task,cost
0,27.58
1,48.18
2,35.76
3,38.04
4,15.75
5,59.61
6,25.6
7,48.51
8,42.96
9,46.04
10,21.21
11,33.82
12,34.01
13,37.88
14,35.98
15,18.75
16,44.6
17,28.23
18,36.47
19,22.23
20,28.91
21,30.05
22,50.46
23,56.12
24,26.04
25,23.27
26,28.51
27,10.82
28,30.35
29,18.83
30,11.39
31,41.41
32,22.26
33,34.87
34,46.57
35,23.95
36,25.49
37,10.9
38,14.32
39,32.63
40,42.73
41,10.37
42,46.44
43,19.63
44,15.33
45,33.86
46,28.98
47,38.45
48,16.9
49,14.45
50,41.71
51,19.5
52,30.76
53,41.02
54,18.34
55,43.45
56,44.58
57,38.9
58,11.07
59,20.51
60,19.48
61,36.74
62,26.8
63,53.53
64,37.18
65,29.25
66,11.36
67,46.87
68,47.6
69,14.06
70,14.0
71,13.62
72,38.09
73,10.47
74,54.11
75,57.24
76,48.41
77,29.48
78,46.04
79,34.64
