src,dst,comm
0,86,6
0,21,7
0,79,2
0,59,7
1,79,5
1,24,10
1,82,7
2,98,2
2,66,1
3,96,8
3,5,1
3,62,9
3,98,6
4,99,9
4,7,8
4,29,5
5,92,5
5,41,2
6,76,6
6,47,3
6,81,9
6,64,2
7,20,10
7,67,8
7,23,1
7,54,9
8,88,8
8,47,5
9,10,7
10,16,7
11,41,2
11,57,6
11,88,10
12,23,9
12,73,2
12,43,9
12,61,7
13,71,9
13,96,10
13,14,1
14,74,9
14,45,4
15,80,10
16,49,2
17,61,1
17,22,5
17,96,5
17,36,9
18,67,2
19,99,7
19,68,9
19,40,10
20,65,6
20,91,4
21,85,10
21,34,5
22,52,6
22,45,4
22,90,9
22,75,9
23,62,9
23,54,10
24,43,8
25,31,9
25,85,8
25,61,2
25,63,6
26,42,4
26,95,6
27,30,7
27,84,10
27,28,10
27,77,6
28,61,9
28,57,8
29,61,9
30,31,2
31,52,6
32,79,10
32,92,8
32,41,10
32,77,6
33,55,8
33,92,10
34,78,2
35,54,4
35,45,4
35,93,7
36,48,10
36,86,10
36,59,2
37,45,10
37,46,9
37,66,4
37,54,7
38,83,6
38,79,10
38,99,4
38,70,4
39,88,5
40,96,8
40,41,7
40,50,8
41,85,3
42,65,1
42,44,4
42,96,6
43,63,10
43,55,8
43,60,8
43,81,8
44,60,5
44,66,5
44,71,10
45,87,7
45,62,8
46,85,9
46,95,1
46,93,5
47,53,1
47,76,8
47,98,9
47,64,1
48,83,6
48,91,5
48,53,8
48,98,9
49,83,8
49,90,1
50,58,5
51,66,8
51,68,4
51,99,10
51,92,4
52,60,6
52,67,7
52,53,8
52,93,9
53,61,2
53,81,5
54,67,2
54,70,1
55,66,8
55,77,7
55,75,8
56,59,6
56,66,4
57,92,10
57,69,10
57,58,5
57,65,10
58,60,10
58,84,10
58,79,8
58,89,10
59,71,8
59,85,7
59,65,10
60,70,3
60,64,4
60,75,7
61,71,6
61,99,7
61,95,5
61,72,3
62,96,1
62,92,6
63,96,2
64,67,6
65,77,6
65,86,6
65,95,3
66,83,6
66,79,10
67,97,8
68,89,9
68,93,9
69,97,3
69,85,7
69,99,7
69,81,10
70,82,3
70,94,2
71,82,8
71,93,2
72,76,10
73,83,2
73,96,3
73,93,6
74,86,7
74,91,7
74,75,6
74,82,4
75,80,4
75,92,2
76,90,6
77,93,4
77,83,10
78,97,3
78,95,2
78,85,1
78,79,3
79,97,7
80,81,7
80,88,7
81,88,7
82,91,9
82,88,2
83,88,6
83,94,5
83,91,5
83,92,2
84,96,8
85,91,7
85,92,10
86,97,1
86,93,8
86,96,7
86,88,7
87,93,3
87,94,4
87,97,7
87,96,4
88,94,8
88,99,6
89,98,9
89,92,8
89,96,1
90,94,8
90,91,1
91,99,6
92,97,2
92,95,9
92,96,1
93,99,2
93,95,10
94,99,7
94,97,8
94,96,1
94,98,8
95,98,9
96,97,2
96,99,1
97,98,6
98,99,6
