src,dst,comm
0,7,8
1,28,3
1,14,7
2,19,6
2,17,9
2,20,2
2,14,6
3,12,8
4,21,1
5,13,9
6,22,10
7,15,3
7,21,5
7,12,2
7,18,1
8,17,9
8,26,6
8,29,7
9,10,3
9,25,2
9,26,1
10,25,2
10,26,2
10,18,2
10,29,3
11,21,2
11,25,7
11,24,4
12,15,8
12,17,7
12,18,1
12,25,1
13,19,8
13,15,9
13,22,3
13,16,3
14,27,3
14,23,6
14,18,6
15,24,6
15,27,5
15,19,6
15,29,8
16,24,6
16,19,7
16,27,7
16,25,9
17,29,9
17,20,2
18,23,10
19,24,10
19,23,6
19,25,6
19,26,10
20,26,9
20,29,10
20,21,1
20,22,7
21,25,7
21,29,8
21,26,2
22,24,10
22,29,6
22,23,5
23,25,6
23,28,1
23,27,6
24,27,2
24,26,2
24,28,8
24,29,9
25,26,8
25,28,3
25,29,1
25,27,1
26,28,9
26,29,9
26,27,7
27,29,8
27,28,6
28,29,4
