src,dst,comm
0,10,6
1,36,10
2,7,2
2,35,6
2,15,9
2,10,9
3,13,7
3,21,5
3,4,6
3,25,6
4,38,4
4,22,1
4,37,1
5,32,1
5,34,7
5,37,7
6,15,1
6,18,10
6,10,7
7,14,1
7,39,4
7,21,6
7,36,4
8,19,7
9,21,10
9,12,2
9,27,2
9,16,1
10,33,4
10,16,2
10,22,4
11,18,5
11,38,2
12,38,6
13,25,10
13,27,5
14,38,10
14,22,6
14,30,6
15,34,7
15,26,3
15,30,6
16,28,2
16,32,3
17,33,7
17,23,1
18,22,7
19,39,1
19,35,7
20,35,5
20,29,5
20,34,6
20,28,3
21,30,7
21,39,1
22,34,4
22,29,7
22,24,3
22,28,2
23,38,2
24,36,10
24,33,4
24,39,7
24,32,9
25,34,1
25,31,6
25,27,10
26,35,2
26,31,2
26,30,9
26,37,2
27,31,3
27,39,1
27,34,2
27,35,7
28,33,10
28,37,8
29,38,1
29,32,1
29,35,5
29,31,3
30,35,7
30,34,8
30,32,4
30,36,9
31,37,1
32,38,1
32,34,2
32,37,3
32,35,7
33,34,1
33,39,6
33,36,4
33,37,8
34,36,1
34,35,5
34,37,10
34,39,9
35,37,1
35,38,5
35,36,1
36,39,4
36,37,9
37,38,4
37,39,7
38,39,3
