comparison,param_value,algorithm,metric,mean
n,10,HEFT,makespan,210.54465
n,10,HEFT,energy,286518.18886837276
n,10,HEFT,cost,0.009263345833333334
n,10,HEFT,reliability,0.9382726405495329
n,10,HEFT,load_balance,56.18104172605804
n,10,GA,makespan,213.39985000000001
n,10,GA,energy,283046.8518475812
n,10,GA,cost,0.009131445833333333
n,10,GA,reliability,0.937272146831036
n,10,GA,load_balance,41.69105884307097
n,20,HEFT,makespan,296.3383
n,20,HEFT,energy,405283.0376667832
n,20,HEFT,cost,0.019783197222222226
n,20,HEFT,reliability,0.909319055538059
n,20,HEFT,load_balance,73.41190340769464
n,20,GA,makespan,301.76385000000005
n,20,GA,energy,399471.21450452536
n,20,GA,cost,0.020833413888888888
n,20,GA,reliability,0.9076309551797336
n,20,GA,load_balance,47.96498959405101
n,30,HEFT,makespan,355.3068
n,30,HEFT,energy,478607.9765555598
n,30,HEFT,cost,0.030499091666666665
n,30,HEFT,reliability,0.8882431964652631
n,30,HEFT,load_balance,79.59294219669471
n,30,GA,makespan,361.31335
n,30,GA,energy,473599.5616398786
n,30,GA,cost,0.03649702361111111
n,30,GA,reliability,0.8856701864224799
n,30,GA,load_balance,47.34970845598414
n,40,HEFT,makespan,411.5176
n,40,HEFT,energy,546852.3218855403
n,40,HEFT,cost,0.041613265277777776
n,40,HEFT,reliability,0.8684819411650979
n,40,HEFT,load_balance,80.74019695278577
n,40,GA,makespan,415.3459
n,40,GA,energy,540573.3953817316
n,40,GA,cost,0.05233781527777778
n,40,GA,reliability,0.865850921185281
n,40,GA,load_balance,47.02293443018778
n,50,HEFT,makespan,467.56635
n,50,HEFT,energy,612376.4980728654
n,50,HEFT,cost,0.05269760277777778
n,50,HEFT,reliability,0.8499765634935506
n,50,HEFT,load_balance,84.59872265910462
n,50,GA,makespan,471.13015
n,50,GA,energy,610532.4667480295
n,50,GA,cost,0.07007258472222222
n,50,GA,reliability,0.8463892377839547
n,50,GA,load_balance,46.91833114633384
n,60,HEFT,makespan,526.3074
n,60,HEFT,energy,683961.9282390482
n,60,HEFT,cost,0.06479566805555556
n,60,HEFT,reliability,0.8306201544048486
n,60,HEFT,load_balance,84.97190760228577
n,60,GA,makespan,520.6569000000001
n,60,GA,energy,681032.640437189
n,60,GA,cost,0.08706869027777778
n,60,GA,reliability,0.8275820861702917
n,60,GA,load_balance,50.42689813602191
n,70,HEFT,makespan,554.83075
n,70,HEFT,energy,715671.4776928509
n,70,HEFT,cost,0.07511669861111112
n,70,HEFT,reliability,0.8182290740246512
n,70,HEFT,load_balance,82.40620305201656
n,70,GA,makespan,551.9736
n,70,GA,energy,713152.682698047
n,70,GA,cost,0.10279176944444446
n,70,GA,reliability,0.8149170719408384
n,70,GA,load_balance,51.211881940536514
n,80,HEFT,makespan,611.43435
n,80,HEFT,energy,771549.2073986327
n,80,HEFT,cost,0.08661903194444445
n,80,HEFT,reliability,0.8017657176492845
n,80,HEFT,load_balance,85.1749051343311
n,80,GA,makespan,607.1665
n,80,GA,energy,775266.5233734229
n,80,GA,cost,0.12108101111111111
n,80,GA,reliability,0.7976221428569275
n,80,GA,load_balance,56.311328361029716
n,90,HEFT,makespan,644.18695
n,90,HEFT,energy,801858.300196452
n,90,HEFT,cost,0.09573322361111111
n,90,HEFT,reliability,0.7902209057497152
n,90,HEFT,load_balance,85.12889130865514
n,90,GA,makespan,643.3004
n,90,GA,energy,809405.9908796132
n,90,GA,cost,0.13510355555555556
n,90,GA,reliability,0.7856137291220783
n,90,GA,load_balance,57.32248884954622
n,100,HEFT,makespan,699.3168000000001
n,100,HEFT,energy,861661.4925397582
n,100,HEFT,cost,0.10892964305555557
n,100,HEFT,reliability,0.7737022780842913
n,100,HEFT,load_balance,85.52842800584521
n,100,GA,makespan,688.9724000000001
n,100,GA,energy,867883.0540247648
n,100,GA,cost,0.1538334263888889
n,100,GA,reliability,0.7696180330871075
n,100,GA,load_balance,55.067175189796046
processors,4,HEFT,makespan,663.153075
processors,4,HEFT,energy,241050.46212907427
processors,4,HEFT,cost,0.060109241666666674
processors,4,HEFT,reliability,0.9126098995659404
processors,4,HEFT,load_balance,68.26318475875371
processors,4,GA,makespan,592.127575
processors,4,GA,energy,238962.72236809123
processors,4,GA,cost,0.055756392361111115
processors,4,GA,reliability,0.9151241474590418
processors,4,GA,load_balance,61.21710039071225
processors,8,HEFT,makespan,477.30417500000004
processors,8,HEFT,energy,280721.7987858146
